iter kd skd kf skf gamma sgamma sigma_error1 sigma_error2 sigma_error3 sigma_error4 L
7.900000000000000000e+01 3.684686837912384176e-04 6.749641891838731680e-05 4.316534631767250104e-05 2.343739046496698931e-06 6.430121648815314856e-05 4.296470580951561761e-06 7.804414002516554483e+00 8.691915793409814128e+00 7.044687323953164437e+00 6.843200757270709644e+00 -1.705727817079063698e+03
8.000000000000000000e+01 3.770734195165838655e-04 6.845633604633431053e-05 4.513301130396458306e-05 2.338536899195945246e-06 6.999567907804123211e-05 3.936621626585768200e-06 7.119800697384793153e+00 8.498983930404399700e+00 7.567306574790170437e+00 6.676671317808750672e+00 -1.708674224604382289e+03
8.100000000000000000e+01 3.963191971721777935e-04 6.811520343884055616e-05 4.799305958848382522e-05 2.187009908858901921e-06 6.866807740802486899e-05 3.811102488479183849e-06 7.647457939616327138e+00 8.624852215414881229e+00 7.532523744408901045e+00 6.860904240542785359e+00 -1.705409426399016866e+03
8.200000000000000000e+01 4.076778728059581025e-04 7.610340800000252998e-05 4.982863947775501473e-05 2.133062914408429440e-06 7.162718502524639624e-05 3.719352315075223563e-06 8.017627215071447822e+00 8.029324806759419175e+00 6.909879659690318476e+00 7.574721516708696534e+00 -1.705675923043648936e+03
8.300000000000000000e+01 4.518258794354463865e-04 7.485062091996517346e-05 4.636326072341410038e-05 2.192943705441266302e-06 6.871990721236335541e-05 3.770672214108998277e-06 7.786102521870522430e+00 8.803231120207984262e+00 7.581058081970875051e+00 7.492532884062267584e+00 -1.706047356182937165e+03
8.400000000000000000e+01 4.610153099434463457e-04 7.360794460559310129e-05 4.502476970467880611e-05 2.360528808062421662e-06 6.921765608482391831e-05 3.818951178658413023e-06 7.897792155641237599e+00 8.555567418442745264e+00 7.719435698645146005e+00 7.459632859590666243e+00 -1.707910951897872792e+03
8.500000000000000000e+01 4.295341899793537251e-04 7.610225667236752100e-05 4.542441778540972638e-05 2.145796112041994347e-06 6.593838591570809948e-05 3.816137454847665152e-06 7.535501797614011288e+00 8.041684996969522103e+00 8.621859318879545597e+00 7.028312909736813552e+00 -1.706825931416868116e+03
8.600000000000000000e+01 4.480815317825666798e-04 7.515758109466790708e-05 4.665468799224310221e-05 2.256880030046491230e-06 6.814268914256815118e-05 3.752515872038230880e-06 7.065863712083286785e+00 8.729930769943061719e+00 8.657537042578320907e+00 6.977308060050578575e+00 -1.711875128024971900e+03
8.700000000000000000e+01 4.925236470336529209e-04 8.110073061510035379e-05 4.613636420388821227e-05 2.375217431522550250e-06 6.987360133256319793e-05 3.773009831732350513e-06 6.869018172680156908e+00 8.581144477144043492e+00 8.586902233111960214e+00 6.644838361015543704e+00 -1.707047041708935922e+03
8.800000000000000000e+01 5.127872061303867480e-04 7.985251499170240692e-05 4.840072133548508113e-05 2.468444160256166953e-06 7.315974933632314354e-05 4.285273485238445419e-06 7.199177510033323735e+00 9.052900642288598476e+00 7.679076830603779769e+00 7.223451847354238176e+00 -1.705501408266906537e+03
